Commit SHA,Repo,Changed Files,Actual Config Warning?,Strict Config Warning?,Preventable? (Y/N),Confidence (High/Med/Low) - Project's ESLint,Confidence (High/Med/Low) - Our ESLint,Commit Name,Notes
7e0746792a476fef930a8696323a006b72dcb301,https://github.com/deniszholob/factorio-cheat-sheet.git,src/app/views/nav/nav.component.ts,N,N,N,High,High,"  New cheat sheet template missing collapse logic, fix 1px off to show sidebar","Logic / Off-by-one error. The fix added missing event subscription logic and corrected a comparison operator (> to >=). Project linter caught no issues. The Strict linter found 0 issues in the main template file. It flagged 2 style issues (no-inferrable-types) in the nav component, but they were unrelated to the logic fix."
"362997324ed78d5cc0121cf8c5b3db196ae78337",https://github.com/ghostfolio/ghostfolio.git,N/A: Not a bug,N/A: Not a bug,N/A: Not a bug,N,High,High,"Task/enforce module boundaries for ui module (#5947),  * feat(lib): move ConfirmationDialogType to common lib,  * fix(lib): move SubscriptionType to enums,  * feat(lib): move validateObjectForForm util to common lib,  * feat(lib): move GfDialogFooterComponent to ui lib, * feat(lib): move GfDialogHeaderComponent to ui lib","False Positive. Refactoring task (enforcing module boundaries). The 'fix' keyword referred to moving a file location, not repairing broken logic."
e75be9d82a5831533fc0bb498730988a5dbb32a5,https://github.com/ghostfolio/ghostfolio.git,libs/common/src/lib/dtos/create-account-with-balances.dto.ts,N/A : linter crashed,N,N,Low,High," Bugfix/fix type error in CreateAccountWithBalancesDto (#5945) * Refactor import","Refactor / Import Cycle. The developer moved an import to fix a 'Type Error' likely caused by a circular dependency or build order issue. The project linter crashed. The Strict linter found no issues with the file, as standard linters do not validate file system resolution or circular dependencies by default."
fd4872e1a9c87e1d2ff908140e48fb7c3cb71a18, https://github.com/xdan/jodit.git,tools/minimizer/js.ts,N,N,N,High,High,fix: disable unsafe_arrows compression option for better safety,"Build Configuration. The fix changed a setting (unsafe_arrows: false) in the minifier configuration. Linters validate code syntax, not the logical correctness of 3rd-party tool configurations."
2a02f99a0f9f31f19b18da4ce7060531bb838919, https://github.com/xdan/jodit.git,src/core/selection/style/transactions.ts,N,N,N,High,High,[fix]: prevent block element splitting when applying inline styles (#1281),Logic / DOM Manipulation error. The fix prevented an undesirable behavior (splitting block elements) when applying inline styles. Both linters found zero issues because the original code was syntactically valid TypeScript; the error was in the specific domain logic of how the editor handles DOM selections.
2c2dc935a6354bd46e379075a11da39918de7aa3,https://github.com/mrjono1/joi-to-typescript.git,"src/__tests__/defaults/defaults.ts, /src/parse.ts",N,N,N,High,High, Fix bad export keyword in case an object has a default value. We need to use `export type =` instead of `export interface`.,"Logic / Code Generation error. The code was generating syntactically incorrect TypeScript output (export interface instead of export type) for a specific edge case. Project linter had no output, ours only found ""Unused eslint-disable directive"" warnings."
9fa815cddd8bdb44059c874027aaf11459dcb5d5,https://github.com/eirikpre/VSCode-SystemVerilog.git,"src/parser.ts, /src/providers/ModuleInstantiator.ts",N,N,N,High,High," fix: add local import capability - Change regex for block declaration - Change the checks for parameterized module","Logic / Parser Implementation error. The fix updated a Regular Expression to correctly parse SystemVerilog imports and improved whitespace handling. ]Project found nothing. Strict found 33 hygiene issues (array-type, prefer-for-of) but could not validate that the regex logic was insufficient for the target language grammar. All 33 issues remained post-fix."
97ae29416ef1637d9ddc6e095dfc83a52860bca2,https://github.com/eirikpre/VSCode-SystemVerilog.git,src/providers/ModuleInstantiator.ts,Y,N,Y,Med,High,lint fix,"Linter Driven Cleanup. The project linter (via eslint-plugin-prettier) flagged a trailing whitespace error on a line of commented-out code. Instead of fixing the whitespace, the developer deleted the entire commented block, leading to medium confidence that the linter helped correct the bug. The Strict linter (which does not enforce Prettier rules) ignored the block entirely, only flagging unrelated unused-disable-directive warnings that persisted after the fix."
e5b2e1a7c0282aba496ffe2806201778b84a96fc,https://github.com/argos-ci/jest-puppeteer.git,"packages/expect-puppeteer/src/index.ts, packages/expect-puppeteer/src/matchers/toClick.ts",N,N,N,High,High,fix: fix types resolution when importing jest types from @jest/globals (#602),Type Resolution / Declaration error. The fix adjusted global type declarations to support @jest/globals. Both linters missed the logic error. The Strict linter flagged one unrelated style issue (prefer-function-type) that persisted after the fix.
8897f604a091804d139dc5d8a39afbaf8ce0230b,https://github.com/argos-ci/jest-puppeteer.git,packages/expect-puppeteer/src/matchers/toFill.ts,Y,Y,Y,High,High,chore: fix linting issue,"Hygiene / Unused Variable. The developer removed an unused exception variable in a catch block (catch (e) -> catch). Both the Project and Strict linters explicitly flagged the unused variable e, and the warning disappeared after the fix."
